sno,Circle,Name of the Monument ,Domestic-2019-20,Foreign-2019-20,Domestic-2020-21,Foreign-2020-21,% Growth 2021-21/2019-20-Domestic,% Growth 2021-21/2019-20-Foreign
1,Agra,Taj Mahal,4429710,645415,1259892,9034,-71.56,-98.6
2,Agra,Agra Fort,1627154,386522,371242,2810,-77.18,-99.27
3,Agra,Fatehpur Sikri,454376,184751,107835,574,-76.27,-99.69
4,Agra,Akbar Tomb Sikandra,229270,19625,99509,321,-56.6,-98.36
5,Agra,Mariam tomb Sikandra,22517,414,9765,31,-56.63,-92.51
6,Agra,Itimad-ud-Daulah-Tomb,132800,82692,41016,410,-69.11,-99.5
7,Agra,Ram Bagh,84051,355,18599,54,-77.87,-84.79
8,Agra,Mehtab Bagh,178574,62325,62652,544,-64.92,-99.13
9,Agra,Mausoleum,474462,12536,91185,321,-80.78,-97.44
10,Total,Total,7632914,1394635,2061695,14099,-72.99,-98.99
11,Lucknow,Site of Sahet mahet,74597,13628,27201,35,-63.54,-99.74
12,Lucknow,Residency Building,116348,3367,57194,37,-50.84,-98.9
13,Lucknow,Piprahwa & Ganwaria,38342,3098,12062,3,-68.54,-99.9
14,Total,Total,229287,20093,96457,75,-57.93,-99.63
15,Jhansi,"Gupta Temple & Varah Temple, Deogarh",1348,32,931,0,-30.93,-100
16,Jhansi,Kalinjar Fort,81507,137,80291,27,-1.49,-80.29
17,Jhansi,Rani Lakshmi Bai Mahal,15954,50,5712,5,-64.2,-90
18,Jhansi,Rani Jhansi Fort,361294,705,174622,107,-51.67,-84.82
19,Total,Total,460103,924,261556,139,-43.15,-84.96
20,Sarnath,Lord Cornwallis Tomb,18318,85,5289,9,-71.13,-89.41
21,Sarnath,"Old Fort (Shahi Fort), Jaunpur",198922,114,67163,127,-66.24,11.4
22,Sarnath,Observatory of Man Singh,83059,954,21379,11,-74.26,-98.85
23,Sarnath,Excavated Remains at sarnath,485309,100590,170590,384,-64.85,-99.62
24,Sarnath,Tomb of Lal Khan,6819,9,1972,2,-71.08,-77.78
25,Sarnath,Ancient Buddhist Site known as Chaukhandi stupa,55144,5186,14956,46,-72.88,-99.11
26,Total,Total,847571,106938,281349,579,-66.81,-99.46
27,Thrissur,"Bekal Fort, Pallikkare, Distt. Kasargod",334846,728,115333,242,-65.56,-66.76
28,Thrissur,mattancherry Palace Museum Kochi,300465,79355,23026,177,-92.34,-99.78
29,Thrissur,"Fort, Palakkad, Palakkad",174589,241,43927,26,-74.84,-89.21
30,Thrissur,"Fort St. Angelo, Kannur",234518,3305,65683,115,-71.99,-96.52
31,Total,Total,1044418,83629,247969,560,-76.26,-99.33
32,Chennai,Group of Monuments Mamallapuram,1260358,53422,808145,29145,-35.88,-45.44
33,Chennai,"Gingee Fort , Gingee",107073,1736,125109,2272,16.84,30.88
34,Chennai,"Tiger headed Rock cut temple & two other monuments, Saluvankuppam",43733,1063,58206,868,33.09,-18.34
35,Total,Total,1411164,56221,991460,32285,-29.74,-42.57
36,Tiruchirappalli,"Fort on Rock, Dindigual",24657,94,25603,99,3.84,5.32
37,Tiruchirappalli,"Moovarkoil, Kodumbalur",19114,46,1476,9,-92.28,-80.43
38,Tiruchirappalli,"Rock-cut Jain Temple, Sittannavasasl",31876,188,41791,235,31.1,25
39,Tiruchirappalli,Tirumalai Nayak's Palace Srivilliputhur,30046,460,217,3,-99.28,-99.35
40,Tiruchirappalli,"Natural Caven with inscription eladipattam, Sittannavasal",23928,645,2490,19,-89.59,-97.05
41,Tiruchirappalli,"Fort Museum, Thirumayam",294829,5259,41487,1555,-85.93,-70.43
42,Tiruchirappalli,Fort Vattakottai,159492,340,5058,36,-96.83,-89.41
43,Total,Total,583942,7032,118122,1956,-79.77,-72.18
44,Bhopal,Buddhist Caves,19920,42,23692,0,18.94,-100
45,Bhopal,"The palace situated in the fort, Burhanpur",47305,272,13926,27,-70.56,-90.07
46,Bhopal,Hoshang Shah's Tomb,130094,2017,57769,39,-55.59,-98.07
47,Bhopal,"Group of monument, Royal Palace Mandu",408302,2427,181868,128,-55.46,-94.73
48,Bhopal,Roopmati's Pavilion,392485,1884,148680,91,-62.12,-95.17
49,Bhopal,"Buddhist Monuments, Sanchi",250706,3986,58979,41,-76.47,-98.97
50,Bhopal,Gwalior Fort,255734,7744,101464,130,-60.32,-98.32
51,Bhopal,"Buddhist cave no 01 to 51 Dhamnar, Tehsil Garoth",32578,4,12303,13,-62.24,225
52,Bhopal,"Badal Mahal Gatwway, Chanderi",13708,89,9689,5,-29.32,-94.38
53,Bhopal,Caves 1 t0 20 Udaygiri Vidisha,53546,741,11601,10,-78.33,-98.65
54,Bhopal,Bir Singh Palace Datia,23382,736,14045,12,-39.93,-98.37
55,Total,Total,1627760,19942,634016,496,-61.05,-97.51
56,Jabalpur,"Ancient Site and Adamgrah rock shelter, Kalamdi Rasuliya and kishanpur",23354,18,16546,8,-29.15,-55.56
